DateTime,x(m),y(m),z(m),vx(m/s),vy(m/s),vz(m/s)
2030-11-14 12:40:18.628106,-1868672.983137,-4109254.458128,-5662079.085471,803.494945,5844.436981,-4415.742389
2030-11-14 12:41:33.755697,-1802845.646090,-3658465.579246,-5976721.255828,948.100773,6150.363825,-3956.182379
2030-11-14 12:42:48.745458,-1726499.237550,-3186912.611959,-6255425.874894,1087.128150,6420.004161,-3473.118330
2030-11-14 12:44:03.572994,-1640149.628796,-2697610.009379,-6496594.415964,1219.753380,6651.806140,-2969.495915
2030-11-14 12:45:18.206043,-1544390.179806,-2193732.895606,-6698880.698989,1345.183698,6844.450614,-2448.444448
2030-11-14 12:46:32.603574,-1439892.661685,-1678603.718322,-6861219.604518,1462.665683,6996.880297,-1913.269211
2030-11-14 12:47:46.706345,-1327420.621058,-1155734.657989,-6982845.834112,1571.482989,7108.320993,-1367.502323
2030-11-14 12:49:00.407394,-1207880.101679,-629012.085440,-7063325.452790,1670.935857,7178.319671,-815.104772
2030-11-14 12:50:13.500213,-1082422.190967,-103035.375839,-7102677.000097,1760.319218,7206.877542,-260.837711
2030-11-14 12:51:27.558292,-949008.297091,430472.075627,-7101084.762691,1840.916395,7193.874517,304.140503
2030-11-14 12:52:42.281034,-808743.187988,966190.560135,-7057044.682150,1911.530148,7137.754578,874.371391
2030-11-14 12:53:56.706219,-664205.371239,1494007.323241,-6970921.708309,1970.682713,7038.943036,1439.172916
2030-11-14 12:55:10.964394,-516030.986335,2011731.688101,-6843318.577166,2018.151401,6897.932045,1996.207994
2030-11-14 12:56:25.031892,-365163.271972,2516146.206986,-6675180.899056,2053.636957,6715.584045,2542.000905
2030-11-14 12:57:38.907892,-212513.209556,3004291.809566,-6467672.139733,2076.929528,6492.982889,3073.306226
2030-11-14 12:58:52.590223,-59000.549434,3473313.800111,-6222190.994537,2087.890972,6231.460311,3586.945160
2030-11-14 13:00:06.077383,94455.942349,3920492.781560,-5940357.644648,2086.457752,5932.586651,4079.840801
2030-11-14 13:01:19.369791,246946.818727,4343267.435181,-5623995.866195,2072.641635,5598.157120,4549.046013
2030-11-14 13:02:32.468059,397573.881168,4739237.780797,-5275125.459247,2046.529963,5230.188547,4991.750821
2030-11-14 13:03:45.374804,545459.247832,5106187.854828,-4895939.232574,2008.285015,4830.899170,5405.312217
2030-11-14 13:04:58.092513,689746.075886,5442085.329760,-4488797.431805,1958.144080,4402.706060,5787.259062
2030-11-14 13:06:10.625462,829607.320230,5745101.053165,-4056201.521253,1896.417295,3948.199912,6135.319974
2030-11-14 13:07:22.978789,964248.363106,6013612.112111,-3600781.548663,1823.486135,3470.133164,6447.433219
2030-11-14 13:08:35.154821,1092904.872208,6246197.673292,-3125303.495663,1739.805598,2971.428030,6721.748002
2030-11-14 13:09:47.154189,1214850.294107,6441656.458610,-2632648.096677,1645.902322,2455.153462,6956.650566
2030-11-14 13:10:58.978026,1329404.492471,6599021.990875,-2125778.199098,1542.369155,1924.489080,7150.788313
2030-11-14 13:12:10.613683,1435917.262381,6717546.572606,-1607822.734155,1429.884020,1382.810065,7303.054311
2030-11-14 13:13:22.033093,1533778.315642,6796741.010698,-1082076.090578,1309.215826,833.681963,7412.635960
2030-11-14 13:14:33.157889,1622390.363696,6836409.408398,-552237.561205,1181.290009,281.104315,7479.047416
2030-11-14 13:15:44.943583,1702341.844795,6836489.393860,-14249.930842,1045.096378,-278.987532,7502.309084
2030-11-14 13:16:56.541527,1772116.348171,6796537.551519,522416.443949,902.996894,-836.552857,7481.466472
2030-11-14 13:18:08.083451,1831476.406800,6716884.014751,1055601.102948,755.629500,-1389.175437,7416.759584
2030-11-14 13:19:19.827404,1880249.997563,6597567.157669,1584073.647339,603.356012,-1935.396940,7308.177344
2030-11-14 13:20:31.519004,1917942.284175,6439579.172489,2102830.651650,447.644600,-2469.866327,7156.626020
